Slot,,"Note: values maintained from generic case, following numbers-based seal example",
Name,Sheep_Obs,,
Cobs,0.01,0.02,
Cbiascv,0.01,,
CAA_nsamp,40,60,
CAA_ESS,40,60,
CAL_nsamp,41,59,
CAL_ESS,41,60,
Iobs,0.05,0.1,
Ibiascv,0.2,,
Btobs,0.05,0.1,
Btbiascv,0.025,0.05,
beta,1,1,
LenMbiascv,0.1,,
Mbiascv,0.1,,
Kbiascv,0.1,,
t0biascv,0.1,,
Linfbiascv,0.1,,
LFCbiascv,0.1,,
LFSbiascv,0.1,,
FMSYbiascv,0.4,,
FMSY_Mbiascv,0.1,,
BMSY_B0biascv,0.1,,
Irefbiascv,0.5,,
Brefbiascv,0.5,,
Crefbiascv,0.5,,
Dbiascv,0.5,,
Dobs,0.2,0.4,
hbiascv,0.1,,
Recbiascv,0.1,0.1,
